id,x,y,deg
017_12,s0.788162571885814,s0.559133230130321,s69.598713047260375
017_13,s1.783334759478665,s1.012565665469981,s129.592503756796845
017_14,s2.016422978790038,s1.273510266777154,s30.838748839705897
017_15,s0.323344787289678,s0.139194560158516,s23.629377724482900
017_16,s0.216289191595266,s1.171717831610370,s249.305629268912583
018_0,s0.685040997442556,s0.657999997046074,s218.118994385047756
018_1,s1.152442303439214,s0.711090250044973,s304.928313009519741
018_2,s0.180189329638667,s0.349270726710086,s246.370622364324589
018_3,s0.397375826945258,s0.719145543266193,s32.554327890170569
018_4,s0.294126249864730,s1.811713640210741,s20.784253278602137
018_5,s1.065213913872394,s1.333349333716480,s258.766148277238415
018_6,s1.673712115774599,s2.042769948871414,s118.614930355091687
018_7,s1.801445575930758,s2.280460876980638,s291.978527556700840
018_8,s1.320081992411531,s0.349271102286587,s246.370775110018400
018_9,s0.894817509045945,s1.787772835596803,s120.867632225972557
018_10,s2.222650199700549,s0.241908661640261,s336.370641605447133
018_11,s1.713626794466456,s0.578155379720694,s293.293569295753571
018_12,s1.010641576850646,s2.152645907355578,s304.435162497331305
018_13,s2.214768183377635,s1.788991594370149,s338.014098715625551
018_14,s0.824359712158266,s1.171758278889270,s77.794289840209487
018_15,s2.331313271890927,s1.251414687533584,s117.590971686138033
018_16,s0.699822317973343,s2.284369457207182,s66.370622269869813
018_17,s1.932706228297800,s1.498903080117637,s78.766054225286666
019_0,s2.404906802532799,s1.296742609545089,s336.370622106616906
019_1,s0.807635516131917,s1.399225272012076,s327.677746337872122
019_2,s1.253377490432837,s2.560674390839889,s154.768056814301474
019_3,s0.399778362498845,s0.364369852370666,s23.628236172725938
019_4,s2.512130602995597,s2.474952117710961,s67.165798560166351
019_5,s2.001214244555432,s1.423860464814065,s35.874234023798351
019_6,s0.766913444850625,s0.564208399110085,s238.907617088102313
019_7,s1.404353100769057,s1.447560319781128,s359.993052313270766
019_8,s0.292037999897638,s2.458072803672007,s295.107186141969521
019_9,s2.391495959246324,s0.877983986445836,s204.682047589429686
019_10,s1.635940526539973,s2.447178238602127,s208.427203673488947
019_11,s0.708468639525683,s0.869445402206536,s51.877174148594740
019_12,s1.632729451189761,s0.450789980480183,s58.907531838115368
019_13,s1.064672942976093,s1.147861930687885,s238.907532707789500
019_14,s0.604541073744172,s1.940182298215179,s336.797753706135268
019_15,s1.897873718284285,s0.490075513130128,s244.929348584016708
019_16,s0.399766577815867,s1.537319804768038,s23.629364516739003
019_17,s2.066880476690958,s0.945656165725326,s67.947323304184494
019_18,s2.309859532577243,s1.860817373555673,s28.427203679381442
020_0,s1.581996883564541,s1.040901159033180,s215.492202074981918
020_1,s2.291714671640545,s2.387046082933423,s69.396483930323427
020_2,s1.634843896416274,s0.319312394925444,s82.971389776583862
020_3,s0.082126090847229,s0.184110838463603,s23.629374572865675
020_4,s2.184659900696420,s1.563728776395733,s336.370622341482260
020_5,s0.019720371473990,s2.393696006957724,s293.621989823186425
020_6,s0.956618788800521,s2.380081678508385,s107.071003386447003
020_7,s2.293793395734510,s0.353226589362478,s118.555619814438614
020_8,s1.417176077638780,s2.481794963932818,s152.373061592946698
020_9,s0.606679620495975,s0.291472340967131,s246.370622500935724
020_10,s0.727200005457474,s1.055175225355623,s27.040547642638508
020_11,s0.665119719950405,s1.930121905875770,s207.040547593966267
020_12,s0.107246910760060,s1.098189558843012,s19.900190804157301
020_13,s0.090572576092166,s2.003974109109885,s199.899632212400348
020_14,s1.316434620698558,s1.139836834252220,s27.040661527504430
020_15,s1.918845435419372,s2.125787191960211,s114.396054035236389
020_16,s2.137609747368061,s1.164992452946539,s207.363333055693943
020_17,s0.867050386777584,s0.754268198344736,s263.498756188009224
020_18,s1.808251600864598,s1.529521609878246,s72.280581164892311
020_19,s0.517376234667056,s0.655107606390081,s70.888214380754505
021_0,s1.392899858527217,s1.889723662911858,s185.560246264340861
021_1,s1.707687742741718,s2.494854378003315,s123.507117305558211
021_2,s0.323713336713971,s2.507633749954408,s204.268258349049091
021_3,s1.137170810994087,s0.857271835693470,s357.624989455411310
021_4,s1.597546740922451,s1.088116372698043,s177.580681429222665
021_5,s2.522960347116767,s0.672369383134590,s42.938816762775758
021_6,s0.716840753096633,s0.743396464885570,s199.628978609615672
021_7,s2.603021730504409,s0.295673516257488,s113.629377728299204
021_8,s2.495655878323031,s1.209829352652658,s336.370335817355624
021_9,s0.978363057265121,s2.095023087574660,s146.126983676397316
021_10,s0.327620811211604,s1.631873692949308,s23.811036386577168
021_11,s0.781548301064395,s2.466034544510857,s293.629455960611267
021_12,s0.325299414429193,s1.073064339826612,s156.370507297528491
021_13,s1.968764533749387,s0.392433717363147,s357.580708594012265
021_14,s0.608654242223288,s1.182244289507882,s315.679130620603189
021_15,s1.164020230033022,s0.325139086526330,s246.167042813347507
021_16,s2.470634539787236,s2.065230087163219,s334.399089049967415
021_17,s1.982572611202802,s2.459203013277087,s294.163999915261797
021_18,s1.833000916118329,s2.065652763344560,s238.261114563489116
021_19,s1.778160363216903,s1.427593442804305,s284.544776517668993
021_20,s0.266888230865897,s0.295679268340882,s246.370341610520825
022_0,s1.601259031142558,s2.053134363354876,s248.619452066059296
022_1,s0.114542233013990,s0.122018289680937,s246.370622287860499
022_2,s0.757410230026530,s2.150729887986337,s246.379061077699617
022_3,s1.501738154063852,s2.355063728348101,s66.876429646873675
022_4,s1.050613063604138,s0.208643620279807,s19.095786473094169
022_5,s1.095774704997738,s1.211096176894328,s188.375407613852275
022_6,s2.464931360779965,s0.732358740941001,s337.594703789857363
022_7,s0.221952147078288,s0.974217941261837,s156.390121725116188
022_8,s1.953078628103801,s2.367152692993304,s293.156170025756410
022_9,s1.473019046202247,s0.516305395969510,s308.665163960157827
022_10,s1.359762511695835,s1.398250023168928,s301.198632812820279
022_11,s1.672120118286288,s0.122045617115579,s113.629070803277500
022_12,s0.234533350219219,s1.882232812866680,s20.516523495457466
022_13,s2.460634536941314,s1.633335875206971,s159.683716052035777
022_14,s1.996212390612973,s1.295891419322589,s121.198649528649739
022_15,s0.479475944482418,s0.398086789676023,s338.395601511906989
022_16,s2.436820140213508,s1.970596884373847,s333.892848727378521
022_17,s0.634269458961132,s2.368299337122950,s66.379039531459469
022_18,s0.205868895496197,s1.270822589472078,s318.993520824084499
022_19,s2.214563111559499,s0.618782180578983,s157.642654504503867
022_20,s1.003153035216298,s1.654723070718234,s141.095734684992181
022_21,s2.575561991498770,s0.122033364816821,s113.627209191591461
023_0,s1.081252401143770,s0.342930753614298,s114.557542637415210
023_1,s2.577841273941893,s2.128190568947316,s339.157941204546205
023_2,s1.863356297030939,s2.470469691229261,s55.576299133314606
023_3,s0.207035019494949,s0.903339070423017,s283.460429645437785
023_4,s0.452978224251735,s1.818479961264680,s145.083410455436734
023_5,s0.316246887554476,s2.119845027497297,s23.421444195065813
023_6,s2.586687517451090,s0.223738023118337,s336.370622201100332
023_7,s2.586687480335749,s1.273037678236548,s336.370623539329074
023_8,s0.726947165811395,s2.599673590585618,s66.183788624756218
023_9,s1.464875680749703,s1.245460389199844,s42.271403824160878
023_10,s2.096256193142985,s0.228726868971016,s38.583835223316719
023_11,s1.005334428434570,s2.633912162423579,s235.604001197920894
023_12,s0.682958167382884,s2.122917916966427,s271.973157003646008
023_13,s1.863754688729389,s1.609791696054942,s276.569051072231275
023_14,s1.765463979970013,s1.178753635559995,s210.735591219276188
023_15,s2.174416720781406,s2.602061852075662,s293.629377728634552
023_16,s2.461955423517045,s0.762621767445193,s30.735512236443938
023_17,s1.940176374074379,s2.221323794905875,s232.070848870194851
023_18,s1.497911493489077,s0.213904134359476,s2.829853388202823
023_19,s0.208150058325311,s0.328784362608357,s294.558050202634433
023_20,s0.912269216406686,s1.424616364007570,s103.460429542299764
023_21,s1.625840672052900,s1.835838803272732,s85.798958495167795
023_22,s1.196710724241796,s0.899078729887338,s104.262136938697523
024_0,s0.792811901471685,s2.625797110585877,s69.217948740354032
024_1,s2.231812457526507,s2.624615613925184,s294.236986341814031
024_2,s1.953360447617960,s2.656876385670068,s124.768953358801781
024_3,s0.286257499018345,s1.937479203144728,s214.987994696224547
024_4,s0.320167320252014,s2.220098777471571,s23.629374332775352
024_5,s1.102124104504497,s2.496806619997240,s304.769004643002631
024_6,s2.255564655867858,s2.129470366133366,s83.048617773397794
024_7,s0.327644240977468,s0.775861382814357,s159.639004168283975
024_8,s2.423048202698364,s0.874115399923395,s156.369074893328104
024_9,s2.640641457912990,s0.997223923016657,s336.370645802650301
024_10,s2.590545263817771,s2.121355154676796,s335.384095371265346
024_11,s1.777680605618661,s1.028961529997818,s152.405791094564677
024_12,s1.516733430475690,s1.465358126884618,s293.356842035855664
024_13,s1.186437127921703,s0.193784302340691,s357.959398746534987
024_14,s1.286024986531797,s1.081245693305962,s31.185487284892972
024_15,s2.029953323966107,s1.139672790329371,s335.869899841515746
024_16,s0.806397305291518,s2.242878972137308,s173.814473900121186
024_17,s2.643098576922429,s1.875926145025695,s155.385854322186049
024_18,s0.458236039608453,s1.081369750115985,s34.987993340337901
024_19,s1.771811713052025,s0.203231125018481,s332.405792621482135
024_20,s0.756371402562889,s0.726521524867790,s350.170076220330714
024_21,s1.178278009850023,s1.968094222951332,s269.760110179707169
024_22,s0.749112986077344,s0.311895606035182,s113.629377687717962
024_23,s2.749301630865594,s0.362329543565762,s117.634598620196087
025_0,s1.588465569354421,s1.456391000636175,s331.309238452603836
025_1,s2.747355415454618,s0.350355496815461,s113.629377716670504
025_2,s0.407958488610740,s1.211312936807964,s18.782322713317292
025_3,s2.276556556991958,s2.000431650580631,s151.308458995670236
025_4,s2.758564080400625,s0.678043460736817,s2.657945858362455
025_5,s2.895472738760303,s2.759231285334909,s66.370622318344275
025_6,s1.646015744292223,s2.759231285350326,s66.370622273705067
025_7,s2.496559279466555,s1.441794935816757,s111.669123235127373
025_8,s0.379236800141093,s2.260686919237139,s23.629046264162955
025_9,s1.977806723584551,s2.767194813516542,s221.284930502566709
025_10,s1.257905991606690,s2.520477601282238,s112.096067477978806
025_11,s0.837156702720298,s0.385481937169477,s243.595038912994056
025_12,s1.680129400624667,s1.163752667435858,s166.612443999336051
025_13,s2.788063387491612,s1.799007834230144,s203.633064704009058
025_14,s0.773417610720002,s1.696979877555687,s61.288512470256734
025_15,s0.784234286233754,s2.743099453558258,s65.103296671578391
025_16,s1.564728887023559,s2.326010221738133,s262.830711834040471
025_17,s2.818036975897162,s2.082736098820518,s36.129592939617325
025_18,s2.273732458560540,s0.965449071972151,s169.976575086322725
025_19,s1.781379695816371,s0.240108920310954,s349.361835911692140
025_20,s1.134458506856093,s0.919470272536901,s202.170740380398286
025_21,s1.395843017210967,s1.927441775133057,s69.316003525739021
025_22,s0.388193577898801,s0.243274297039091,s19.652118348469646
025_23,s0.777421226773214,s0.720000083758572,s63.968370087885248
025_24,s1.200312424183052,s1.425986288330610,s121.822235098067665
026_0,s2.012958498039648,s0.297704644636772,s75.416905918340120
026_1,s2.104977650798238,s0.847342449941821,s312.388159565801573
026_2,s1.147192556327817,s1.900405335253805,s35.986054360520001
026_3,s1.350140920036130,s2.461705967886272,s66.370573558183750
026_4,s0.566355511649776,s-0.020828460868074,s246.370622462425757
026_5,s1.575734287243892,s1.711689947747789,s321.171170547550105
026_6,s0.450965056800057,s1.406708705699523,s290.880678029768490
026_7,s1.256088546518966,s0.796309056782523,s255.416910034645554
026_8,s1.883633804677469,s2.562894549055418,s141.171069272237077
026_9,s0.449181960808184,s0.217976939951303,s67.082572631124918
026_10,s0.780795173538817,s0.538670887635359,s216.026203609981621
026_11,s1.568368764040875,s-0.118840172735764,s38.167365722732384
026_12,s0.390992004175646,s2.522259770601992,s212.504875996762195
026_13,s2.416840826147017,s2.568860238771188,s161.185589201441161
026_14,s2.068542521255533,s1.304222587211201,s3.946896366687848
026_15,s-0.055048673139631,s-0.128190679369068,s23.629515059323342
026_16,s-0.049833495671721,s0.741403475872659,s24.037847489119127
026_17,s-0.044438957686735,s2.568858387916679,s161.169192147795684
026_18,s2.427483614483265,s1.650968743557837,s336.370935573217650
026_19,s1.482985274409444,s1.358914473723540,s213.226084224297097
026_20,s2.427484519499875,s0.356942901574671,s336.370634050017429
026_21,s-0.042957823620535,s1.602229837347970,s204.037847642210181
026_22,s0.958292473456397,s1.079403981738853,s332.232366656855675
026_23,s2.376870080359207,s-0.020802437347801,s113.631409573029316
026_24,s0.645236626379913,s1.000212352250631,s131.186780238163891
026_25,s0.099690841223849,s1.974834931227611,s257.768302985329285
027_0,s1.020685510968077,s1.269647253802818,s64.721457403380171
027_1,s1.079976731264449,s0.908019599142488,s196.859194259536622
027_2,s1.841452292556492,s2.502697888343844,s238.767303648011364
027_3,s2.120115816909966,s1.628710090600724,s141.078421620082594
027_4,s0.078503177585439,s1.937934907711191,s26.143831324538276
027_5,s0.050230577468002,s0.754562371886073,s22.096896785992492
027_6,s0.440476634675692,s2.442201569584538,s63.274682774553099
027_7,s1.656454045461104,s0.338115072144362,s16.859187863151323
027_8,s2.077792875644378,s0.319768819553017,s290.035513808378880
027_9,s0.061968792290562,s-0.111391411274752,s20.644972598135869
027_10,s0.412579163165200,s1.950976773119165,s277.329021321856601
027_11,s1.350931087134361,s1.172456454490803,s321.078421705772655
027_12,s2.534727226309954,s2.588679672634247,s203.629415592505580
027_13,s0.045806865993603,s1.646861185676638,s203.948620120801564
027_14,s1.297601892057258,s-0.006816737881186,s113.629376862812848
027_15,s0.266485184634590,s0.620338658995014,s200.641311758273304
027_16,s1.516426388951752,s1.998276315762487,s271.298889431134455
027_17,s0.662633801574918,s0.774285387028610,s21.364029566817411
027_18,s0.686570384201495,s2.486236719324681,s243.275463713263576
027_19,s1.909533744135817,s0.713942681266801,s329.189270797086635
027_20,s1.555845175536790,s2.442248258115968,s63.278425987397732
027_21,s2.534726291420482,s-0.114178950696596,s336.370511345674345
027_22,s2.534727709122194,s0.820959938634063,s336.370622169578269
027_23,s2.506940400316648,s1.888739476396999,s174.592208287845807
027_24,s0.836752963409314,s0.434490796051920,s160.640790955054456
027_25,s1.715084127931130,s0.008767169651652,s245.146578772330884
027_26,s1.314356063135740,s1.788347137417484,s97.328979802739738
028_0,s1.718380481597734,s1.897016586224318,s173.420325098351299
028_1,s0.697087093252013,s0.101208762514324,s113.626150415446091
028_2,s0.942294477507623,s1.192559816624146,s43.856752274186235
028_3,s0.477836361854615,s0.822493959904803,s256.338504256245585
028_4,s1.920679037164389,s0.238448983190261,s235.118073029119671
028_5,s2.709637435258292,s-0.006162686705004,s336.371059487225295
028_6,s2.492667038704174,s0.390526378464352,s22.141794298682644
028_7,s0.149237143738450,s0.876121574987928,s23.629377737025862
028_8,s2.249605130616864,s2.653734916735382,s290.177055734953569
028_9,s1.845373807960534,s0.943597062397054,s349.070435721767069
028_10,s1.203030037986421,s1.597409748987221,s26.505293505741456
028_11,s1.215841983948320,s0.319813891653905,s76.339302519169024
028_12,s1.619687520200624,s0.101199423632257,s113.629378334908722
028_13,s0.861291260487803,s2.758681951339170,s204.443666523091139
028_14,s2.383233227142194,s1.222215803708459,s23.471226248209017
028_15,s1.833133206475994,s2.644236995649883,s65.005987067589388
028_16,s1.968198609671787,s2.323376048978513,s217.558934996626476
028_17,s1.477964746636086,s0.507534613916121,s288.219614901992543
028_18,s0.133908840484445,s1.780148488703595,s209.265688976914163
028_19,s0.556269968816605,s2.227314181568716,s206.505336674474677
028_20,s2.752835831539585,s1.665264394001325,s37.558793745217798
028_21,s1.501113349238741,s2.134407409538585,s23.042343502716424
028_22,s2.704711886079443,s0.873954616498928,s338.471226167187581
028_23,s2.709638506290154,s2.225259141768263,s336.370622506428106
028_24,s0.173315932775153,s2.043022183093532,s25.525789684336747
028_25,s0.502204700928994,s2.550700440315286,s57.354874293343606
028_26,s0.208312119584238,s0.484682402500699,s151.662696286233540
028_27,s1.298111254738441,s0.866993802825018,s345.091430600372973
029_0,s0.331871611576638,s-0.196568518946843,s113.629380107089688
029_1,s0.893889710763570,s0.978309150924335,s160.586081175020524
029_2,s-0.097219711823461,s1.429974385486715,s156.372260360710271
029_3,s2.109547221010119,s1.568488601344300,s292.730535335820832
029_4,s1.898272572392590,s1.855289465129532,s25.345362096983589
029_5,s0.744932493725159,s2.536916860103903,s168.127767411125831
029_6,s1.594204958223405,s0.212463948127648,s204.201497219540954
029_7,s-0.094052628574984,s1.950942137432439,s22.298814339265174
029_8,s2.526758112564314,s0.671105801986756,s203.629377691172209
029_9,s2.211540742478239,s0.757408304567027,s60.101379267473028
029_10,s1.989347450060668,s2.416944314899517,s288.959820383632746
029_11,s2.521365094918851,s1.096726596727448,s338.680213228854996
029_12,s2.470981073062034,s2.042164825572467,s331.930719538289850
029_13,s1.150397041449435,s1.359047647772646,s198.311667974831664
029_14,s0.315049593115094,s2.427413161668268,s66.370613945834265
029_15,s1.669183664594376,s0.474374280996811,s16.612013037581363
029_16,s0.703158861096679,s1.474605475488356,s340.983697228606445
029_17,s0.364609210277945,s0.181911565617814,s345.905127239380306
029_18,s0.492268418016194,s1.334317596598723,s159.929692974779954
029_19,s-0.096432539760332,s0.553638901449272,s336.695874600075967
029_20,s1.592359374267656,s1.522498187422287,s231.109293299173714
029_21,s0.905414123365007,s-0.190582763034983,s248.521217464314134
029_22,s0.120422669853042,s1.553065125902843,s336.371224038752757
029_23,s1.286071415423117,s1.641336085696330,s23.078699118415994
029_24,s-0.043734980231200,s0.296817294663958,s156.695856041584108
029_25,s1.235521587217263,s0.485646619217637,s131.433683671061175
029_26,s1.276334825807425,s2.531584509735402,s205.345396332297753
029_27,s2.635139980852261,s-0.154274615313090,s116.978952934634705
029_28,s2.214324578155201,s0.309666438447487,s160.058853537082229
030_0,s0.413724709273885,s1.946905052928413,s335.506796419456691
030_1,s2.828933932920526,s2.406334857089968,s335.358235928324405
030_2,s1.580248324130130,s2.059560876927729,s20.337783498416599
030_3,s0.634144393710790,s0.171587679317898,s113.403978820063756
030_4,s0.787877986132244,s1.740766970153943,s157.117546703697286
030_5,s0.194256537085668,s0.944952678330564,s336.983736506828677
030_6,s2.357807121196241,s2.810143791817931,s290.052703743743791
030_7,s0.989824929961073,s0.110647769669498,s311.509943594256072
030_8,s0.237968734898598,s0.670381116844554,s152.787247509485297
030_9,s1.431159923075551,s1.789816551131546,s199.470616211276081
030_10,s1.971018824005757,s0.919019027735039,s18.888015064817690
030_11,s2.838552882185216,s1.476793782831630,s337.749477386621550
030_12,s2.416805216666888,s1.947703374865058,s291.234183143692121
030_13,s0.605072177604219,s2.818271071430556,s66.370642980840202
